DateTime, MainStage, SubStage, MetaData, CPU (%), Used Memory (MB), Max Heap (MB)
Fri Jul 05 00:27:37 IST 2024, <not set>, <not set>, <not set>, 0.00, 49.01, 4294.97
Fri Jul 05 00:27:37 IST 2024, Language detection, <not set>, Started, 19.65, 52.11, 4294.97
Fri Jul 05 00:27:37 IST 2024, Language detection, <not set>, Done, 0.00, 0.00, 4294.97
Fri Jul 05 00:27:37 IST 2024, Processing rules, <not set>, Started, 16.98, 54.20, 4294.97
Fri Jul 05 00:27:38 IST 2024, Processing rules, <not set>, <not set>, 65.27, 88.31, 4294.97
Fri Jul 05 00:27:39 IST 2024, Processing rules, <not set>, Done, 65.27, 88.31, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, <not set>, Started, 69.09, 55.80, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.frontend.MetaDataPass, Started, 19.42, 71.53, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.frontend.MetaDataPass, Done, 0.00, 0.00, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.rubysrc2cpg.passes.ConfigFileCreationPass, Started, 20.35, 72.58, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.rubysrc2cpg.passes.ConfigFileCreationPass, Done, 0.00, 0.00, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, <not set>, <not set>, 26.34, 82.82, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.rubysrc2cpg.deprecated.passes.AstCreationPass, Started, 70.14, 91.61, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.rubysrc2cpg.deprecated.passes.AstCreationPass, Done, 0.00, 0.00, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, Default overlays, Started, 43.42, 101.45, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.FileCreationPass, Started, 22.11, 102.99, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.FileCreationPass, Done, 0.00, 0.00, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.NamespaceCreator, Started, 19.43, 102.99, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.NamespaceCreator, Done, 0.00, 0.00, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.TypeDeclStubCreator, Started, 23.62, 104.04, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.TypeDeclStubCreator, Done, 0.00, 0.00, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.MethodStubCreator, Started, 43.87, 104.04, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.MethodStubCreator, Done, 0.00, 0.00, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.ParameterIndexCompatPass, Started, 27.52, 104.04, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.ParameterIndexCompatPass, Done, 0.00, 0.00, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.MethodDecoratorPass, Started, 14.20, 104.04, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.MethodDecoratorPass, Done, 0.00, 0.00, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.AstLinkerPass, Started, 9.53, 104.04, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.AstLinkerPass, Done, 0.00, 0.00, 4294.97
Fri Jul 05 00:27:39 IST 2024, Base source processing, io.joern.x2cpg.passes.base.ContainsEdgePass, Started, 22.84, 104.04, 4294.97
